Date	Value
1981-12-31	1.71
1982-12-31	1.8979
1983-12-31	1.981
1984-12-31	2.3303
1985-12-31	2.9434
1986-12-31	3.4616
1987-12-31	3.7314
1988-12-31	3.7314
1989-12-31	3.7673
1990-12-31	4.7921
1991-12-31	5.3337
1992-12-31	5.5206
1993-12-31	5.7795
1994-12-31	8.6397
1995-12-31	8.37
1996-12-31	8.3389
1997-12-31	8.3193
1998-12-31	8.3008
1999-12-31	8.2783
2000-12-31	8.2784
2001-12-31	8.277
2002-12-31	8.2771
2003-12-31	8.2772
2004-12-31	8.2768
2005-12-31	8.1936
2006-12-31	7.9723
2007-12-31	7.6058
2008-12-31	6.9477
2009-12-31	6.8307
2010-12-31	6.7696
2011-12-31	6.463
2012-12-31	6.3093
2013-12-31	6.1478
2014-12-31	6.162
2015-12-31	6.2827
2016-12-31	6.5434
