Date Value
1975-01-31 24.703451673
1975-02-28 25.006769664
1975-03-31 25.27825754
1975-04-30 25.520413071
1975-05-31 25.725018207
1975-06-30 25.884793494
1975-07-31 26.0368465
1975-08-31 26.244857388
1975-09-30 26.480348153
1975-10-31 26.698625663
1975-11-30 26.905291921
1975-12-31 27.067098476
1976-01-31 27.133681379
1976-02-29 27.103923358
1976-03-31 27.10409139
1976-04-30 27.225509909
1976-05-31 27.419872773
1976-06-30 27.648735963
1976-07-31 27.870724719
1976-08-31 28.034700028
1976-09-30 28.15314334
1976-10-31 28.297443567
1976-11-30 28.485363261
1976-12-31 28.674215216
1977-01-31 28.752669398
1977-02-28 28.66652524
1977-03-31 28.631832868
1977-04-30 28.858217716
1977-05-31 29.253252208
1977-06-30 29.61420476
1977-07-31 29.940141502
1977-08-31 30.273914477
1977-09-30 30.564148367
1977-10-31 30.794081705
1977-11-30 30.993763978
1977-12-31 31.239652214
1978-01-31 31.591495254
1978-02-28 31.993550033
1978-03-31 32.316104824
1978-04-30 32.517869106
1978-05-31 32.688720397
1978-06-30 32.95245866
1978-07-31 33.308954834
1978-08-31 33.671629414
1978-09-30 33.999069199
1978-10-31 34.329666527
1978-11-30 34.670583385
1978-12-31 34.908210666
1979-01-31 35.071591273
1979-02-28 35.336410045
1979-03-31 35.749313678
1979-04-30 36.235543015
1979-05-31 36.741680094
1979-06-30 37.263830135
1979-07-31 37.756400958
1979-08-31 38.14681641
1979-09-30 38.380398172
1979-10-31 38.551457653
1979-11-30 38.808560088
1979-12-31 39.111945812
1980-01-31 39.34735878
1980-02-29 39.441297274
1980-03-31 39.453258772
1980-04-30 39.52588464
1980-05-31 39.736860011
1980-06-30 40.141486103
1980-07-31 40.717798907
1980-08-31 41.278781959
1980-09-30 41.717894826
1980-10-31 42.030337398
1980-11-30 42.192472343
1980-12-31 42.20075005
1981-01-31 42.075370497
1981-02-28 41.902597784
1981-03-31 41.806402397
1981-04-30 41.841640593
1981-05-31 41.943629488
1981-06-30 42.00180248
1981-07-31 41.97198162
1981-08-31 41.87971076
1981-09-30 41.757709492
1981-10-31 41.616231013
1981-11-30 41.543515771
1981-12-31 41.734046748
1982-01-31 42.269307769
1982-02-28 43.037770351
1982-03-31 43.81934973
1982-04-30 44.364889127
1982-05-31 44.539825792
1982-06-30 44.40021595
1982-07-31 44.151627415
1982-08-31 44.044643695
1982-09-30 44.21338779
1982-10-31 44.566312051
1982-11-30 44.886389533
1982-12-31 45.067117983
1983-01-31 45.154387755
1983-02-28 45.230664904
1983-03-31 45.254954635
1983-04-30 45.225704601
1983-05-31 45.31320652
1983-06-30 45.623900703
1983-07-31 46.090544178
1983-08-31 46.538304324
1983-09-30 46.867986138
1983-10-31 47.182114596
1983-11-30 47.635476725
1983-12-31 48.164270711
1984-01-31 48.629019593
1984-02-29 49.055421663
1984-03-31 49.528750158
1984-04-30 50.099333185
1984-05-31 50.651285932
1984-06-30 51.020634555
1984-07-31 51.280572161
1984-08-31 51.524943596
1984-09-30 51.863211801
1984-10-31 52.437283282
1984-11-30 53.094547522
1984-12-31 53.612164809
1985-01-31 54.042282988
1985-02-28 54.564614178
1985-03-31 55.156767148
1985-04-30 55.732731731
1985-05-31 56.274344094
1985-06-30 56.770434421
1985-07-31 57.354839037
1985-08-31 57.956917036
1985-09-30 58.429878278
1985-10-31 58.762132466
1985-11-30 59.020382072
1985-12-31 59.272745267
1986-01-31 59.504732437
1986-02-28 59.769264903
1986-03-31 60.123316734
1986-04-30 60.663809414
1986-05-31 61.265584643
1986-06-30 61.602839712
1986-07-31 61.836452623
1986-08-31 62.08418095
1986-09-30 62.154138416
1986-10-31 62.16830894
1986-11-30 62.173280354
1986-12-31 62.158344886
1987-01-31 62.328177919
1987-02-28 62.674276763
1987-03-31 62.883647212
1987-04-30 62.905488294
1987-05-31 63.073245611
1987-06-30 63.42336965
1987-07-31 63.682934626
1987-08-31 63.766041447
1987-09-30 63.820618166
1987-10-31 63.901705612
1987-11-30 63.846935144
1987-12-31 63.6805063
1988-01-31 63.627139999
1988-02-29 63.753136097
1988-03-31 63.991212343
1988-04-30 64.282933584
1988-05-31 64.642159316
1988-06-30 64.980059126
1988-07-31 65.221586326
1988-08-31 65.299321562
1988-09-30 65.175297761
1988-10-31 65.148479534
1988-11-30 65.380032918
1988-12-31 65.608039712
1989-01-31 65.700411204
1989-02-28 65.71873081
1989-03-31 65.725729876
1989-04-30 65.817129391
1989-05-31 65.931240202
1989-06-30 66.103852746
1989-07-31 66.345715887
1989-08-31 66.531761004
1989-09-30 66.584420117
1989-10-31 66.46602407
1989-11-30 66.341276361
1989-12-31 66.400259639
1990-01-31 66.506048024
1990-02-28 66.491664007
1990-03-31 66.549075057
1990-04-30 66.782453951
1990-05-31 67.021096936
1990-06-30 67.233882274
1990-07-31 67.407986705
1990-08-31 67.479643969
1990-09-30 67.455201987
1990-10-31 67.275447335
1990-11-30 67.039479699
1990-12-31 66.973792367
1991-01-31 67.030799636
1991-02-28 67.154027638
1991-03-31 67.413044192
1991-04-30 67.636140832
1991-05-31 67.772075872
1991-06-30 67.895219107
1991-07-31 67.949404372
1991-08-31 67.956243498
1991-09-30 68.096896228
1991-10-31 68.396137954
1991-11-30 68.422833851
1991-12-31 68.095687633
1992-01-31 68.072357443
1992-02-29 68.472544754
1992-03-31 68.820227344
1992-04-30 68.973973069
1992-05-31 68.987696046
1992-06-30 69.107238743
1992-07-31 69.480634264
1992-08-31 69.864628049
1992-09-30 70.017909256
1992-10-31 70.099437422
1992-11-30 70.273111943
1992-12-31 70.342653552
1993-01-31 70.240194388
1993-02-28 70.241558486
1993-03-31 70.551378761
1993-04-30 71.162781862
1993-05-31 71.739380581
1993-06-30 72.097413379
1993-07-31 72.371518961
1993-08-31 72.628547654
1993-09-30 72.906181597
1993-10-31 73.339697511
1993-11-30 73.711573154
1993-12-31 73.933195364
1994-01-31 74.31919677
1994-02-28 74.810714599
1994-03-31 75.357075963
1994-04-30 76.038070999
1994-05-31 76.880915666
1994-06-30 77.657849515
1994-07-31 78.358102559
1994-08-31 78.986444897
1994-09-30 79.500348539
1994-10-31 80.107890671
1994-11-30 80.625741965
1994-12-31 80.866651255
1995-01-31 80.905914835
1995-02-28 80.999338228
1995-03-31 81.322160832
1995-04-30 81.702474273
1995-05-31 82.144671925
1995-06-30 82.502154111
1995-07-31 82.6300523
1995-08-31 82.859558437
1995-09-30 83.195281404
1995-10-31 83.286400339
1995-11-30 83.156054044
1995-12-31 83.190183561
1996-01-31 83.386905555
1996-02-29 83.494358253
1996-03-31 83.871879357
1996-04-30 84.579983966
1996-05-31 85.154623002
1996-06-30 85.675005036
1996-07-31 86.043029178
1996-08-31 86.009409678
1996-09-30 85.933046489
1996-10-31 86.105652279
1996-11-30 86.32083054
1996-12-31 86.374767275
1997-01-31 86.419122275
1997-02-28 86.631889856
1997-03-31 87.117347835
1997-04-30 87.78159252
1997-05-31 88.339975834
1997-06-30 88.657814655
1997-07-31 88.767661745
1997-08-31 89.015558406
1997-09-30 89.421255918
1997-10-31 89.69724806
1997-11-30 89.879471854
1997-12-31 89.904438813
