Date	Value
1981-12-31	5.5901
1982-12-31	6.0698
1983-12-31	7.257
1984-12-31	7.8189
1985-12-31	7.7912
1986-12-31	7.8038
1987-12-31	7.7986
1988-12-31	7.8068
1989-12-31	7.8008
1990-12-31	7.7899
1991-12-31	7.7712
1992-12-31	7.7402
1993-12-31	7.7357
1994-12-31	7.729
1995-12-31	7.7357
1996-12-31	7.7345
1997-12-31	7.7431
1998-12-31	7.7467
1999-12-31	7.7594
2000-12-31	7.7924
2001-12-31	7.7997
2002-12-31	7.7996
2003-12-31	7.7875
2004-12-31	7.7891
2005-12-31	7.7775
2006-12-31	7.7681
2007-12-31	7.8016
2008-12-31	7.7862
2009-12-31	7.7514
2010-12-31	7.7687
2011-12-31	7.7841
2012-12-31	7.7569
2013-12-31	7.7565
2014-12-31	7.7545
2015-12-31	7.7524
2016-12-31	7.7753
